PayStart,PayEnd,Co Code,Batch ID,File #,Batch Description,Reg Hours,OT Hours,Earnings 3 Code,Earnings 3 Amount,Temp Dept,Temp Rate
2026-08-03,2026-08-16,new01,0,,,28.29,0.0,tip01,99.95,107Utility,12.5
2026-08-03,2026-08-16,new01,0,,,14.74,0.0,tip01,52.08,40Training,9.25
2026-08-03,2026-08-16,new01,0,,,77.99000000000001,0.0,tip01,275.59,5ShiftLead,14.5
2026-08-03,2026-08-16,new01,0,,,35.54,0.0,tip01,125.59,70Server,11.0
2026-08-03,2026-08-16,new01,0,,,43.269999999999996,0.0,tip01,152.89,70Server,11.5
2026-08-03,2026-08-16,new01,0,,,76.58,0.0,tip01,270.60,70Server,13.5
2026-08-03,2026-08-16,new01,0,,,34.81,0.0,tip01,74.59,7CerTrainr,17.13
2026-08-03,2026-08-16,new01,0,,,79.46999999999998,0.12,tip01,281.24,80Expo,13.5
2026-08-03,2026-08-16,new01,0,,,58.84,0.0,tip01,207.89,81Dish,11.0
2026-08-03,2026-08-16,new01,0,,,43.81,0.0,tip01,154.81,82Prep,12.0
2026-08-03,2026-08-16,new01,0,,,15.76,0.0,tip01,55.69,83Salad,10.0
2026-08-03,2026-08-16,new01,0,,,22.650000000000002,0.0,tip01,80.02,83Salad,11.0
2026-08-03,2026-08-16,new01,0,,,25.78,0.0,tip01,91.09,84Pizza,11.0
2026-08-03,2026-08-16,new01,0,,,19.829999999999995,0.0,tip01,70.06,84Pizza,12.0
2026-08-03,2026-08-16,new01,0,,,10.11,0.0,tip01,35.72,86Sandwich,10.0
2026-08-03,2026-08-16,new01,0,,,11.97,0.0,tip01,42.29,86Sandwich,11.0
2026-08-03,2026-08-16,new01,0,,,21.15,0.0,tip01,74.73,86Sandwich,11.5
2026-08-03,2026-08-16,new01,0,1062,,74.75999999999999,1.13,tip01,212.09,70Server,10.0
2026-08-03,2026-08-16,new01,0,1072,,12.59,0.0,tip01,47.39,84Pizza,10.5
2026-08-03,2026-08-16,new01,0,1081,,12.79,0.0,tip01,48.15,70Server,10.0
2026-08-03,2026-08-16,new01,0,1081,,30.91,0.0,tip01,116.37,70Server,10.5
2026-08-03,2026-08-16,new01,0,1099,,19.14,0.0,tip01,53.48,81Dish,9.5
2026-08-03,2026-08-16,new01,0,1155,,76.87000000000002,0.0,tip01,214.82,5ShiftLead,14.0
2026-08-03,2026-08-16,new01,0,1166,,46.11,0.0,tip01,173.56,70Server,11.0
2026-08-03,2026-08-16,new01,0,1300003,,30.08,0.0,tip01,64.46,70Server,12.0
2026-08-03,2026-08-16,new01,0,1300006,,17.66,0.0,tip01,37.84,83Salad,12.0
2026-08-03,2026-08-16,new01,0,1300008,,47.21999999999999,0.0,tip01,101.18,81Dish,12.0
2026-08-03,2026-08-16,new01,0,1300009,,59.69,0.0,tip01,127.93,70Server,11.5
2026-08-03,2026-08-16,new01,0,1300010,,64.85000000000001,0.0,tip01,138.97,86Sandwich,13.0
