StoreID,StoreName,ADPBatchID,ADPBatchDescription,TotalHours,TotalTips,TipsPerHour
1001,Oxford MS (University),1001,Oxford University,1041.4500000000003,7101.4000000000015,6.818762302558932
1002,Southaven MS (Goodman Ave),1002,,1489.1200000000001,4799.280000000002,3.2228967443859466
1003,Flowood MS,1003,Flowood,1724.8999999999996,8618.009999999998,4.996237463041336
1004,Tuscaloosa AL,1004,TUSC,1732.2799999999997,7319.559999999991,4.225390814417988
1005,Hattiesburg MS (Hardy St),1005,Hattiesburg,2454.76,9975.92,4.063908487998827
1006,Collierville TN,1006,,1308.13,4738.94,3.622682760887679
1007,Cypress TX,1007,CYPRESS,1257.21,6279.039999999997,4.99442416143683
1008,Birmingham AL (Downtown),1008,,1314.9100000000003,4065.2300000000005,3.091641253013514
1009,Clinton MS,1009,,1101.6000000000001,4605.99,4.181181917211329
1011,Jackson MS,1011,Jackson,1297.9699999999998,6187.759999999998,4.767259643905483
1014,Ridgeland MS (Lake Harbour),1014,Lake Harbour,985.1400000000001,3986.090000000002,4.046216781371177
1015,Tyler TX,1015,Tyler,1232.94,4302.33,3.489488539588301
1016,Oxford MS (Galleria),1016,Galleria,706.98,4068.899999999999,5.755325468895865
1017,Huntsville AL,1017,HUNTS,812.79,3076.7400000000002,3.7854058243826825
1018,Brandon MS,1018,Brandon,1764.92,5680.55,3.218587811345557
1019,Murfreesboro TN (Avenues),1019,MURF,736.7,3935.1500000000005,5.341590878240804
1020,Tupelo MS,1020,,1309.1999999999998,5335.290000000001,4.075229147571037
1021,Shreveport LA,1021,,2083.7200000000003,6613.700000000001,3.1739869080298697
1023,Panama City FL,1023,,1060.7299999999998,6463.349999999999,6.093303668228485
1024,Longview TX,1024,Longview,1095.53,4572.059999999999,4.173377269449489
1026,D`Iberville MS,1026,DIberville,2252.7299999999996,9728.839999999998,4.318688879714835
1027,Austin TX (Arboretum),1027,Arboretum,1582.82,8082.17,5.106183899622193
1029,Huntsville AL (Whitesburg),1029,Whitesburg,1013.05,3417.8999999999996,3.373870983663195
