storeid,dc_name,ship_to_name
1001,Memphis,"NEWKS 1001"
1002,Memphis,"NEWKS #1002"
1003,Jackson,"NEWKS 1003"
1004,Central Alabama,"NEWKS 1004"
1005,Jackson,"NEWKS 1005"
1006,Memphis,"NEWKS #1006"
1007,Central Texas,"NEWKS 1007"
1008,Central Alabama,"NEWKS 1008"
1009,Jackson,"NEWKS CLINTON #1009"
1011,Jackson,"NEWKS 1011"
1014,Jackson,"NEWKS 1014"
1015,East Texas,"NEWKS 1015"
1016,Memphis,"NEWKS 1016"
1017,Central Alabama,"NEWKS 1017"
1018,Jackson,"NEWKS#1018"
1019,Nashville,"NEWKS 1019"
1020,Memphis,"NEWKS 1020"
1021,East Texas,"NEWKS 1021"
1023,Gulf Coast,"NEWKS 1023"
1024,East Texas,"NEWKS 1024"
1026,Jackson,"NEWKS 1026"
1027,Central Texas,"NEWKS 1027"
1029,Central Alabama,"NEWKS 1029"
1031,Central Texas,"NEWKS 1031"
1032,Memphis,"NEWKS 1032"
1033,Central Texas,"NEWKS 1033"
1034,Nashville,"NEWKS 1034"
1035,Jackson,"NEWKS 1035"
1036,Jackson,"NEWKS 1036"
1037,Gulf Coast,"NEWKS 1037"
1039,Jackson,"NEWKS 1039"
1040,Jackson,"NEWKS 1040"
1041,Memphis,"NEWKS 1041"
1042,Arkansas,"NEWKS 1042"
1043,Atlanta,"NEWKS 1043"
1044,Central Alabama,"NEWKS 1044"
1046,Atlanta,"NEWKS 1046"
1048,East Texas,"NEWKS 1048"
1051,Tampa Bay,"NEWKS 1051"
1053,Nashville,"NEWKS EATERY # 1053"
1054,Central Texas,"NEWKS 1054"
1056,Tampa Bay,"NEWKS 1056"
1057,East Texas,"NEWKS 1057"
1060,Jackson,"NEWK'S #1060"
1061,Charlotte,"NEWKS 1061"
1062,Central Alabama,"NEWKS#1062"
1063,Baltimore,"NEWKS 1063"
1068,Central Alabama,"NEWKS#1068"
1069,Arkansas,"NEWKS 1069"
1072,Central Alabama,"NEWKS 1072"
1073,Arkansas,"NEWKS 1073"
1076,Jackson,"NEWKS 1076"
1079,East Texas,"NEWKS 1079"
1085,Central Texas,"NEWKS 1085"
1087,Jackson,"NEWKS 1087"
1088,Atlanta,"NEWKS 1088"
1090,Atlanta,"NEWKS 1090"
1094,Atlanta,"NEWKS 1094"
1096,Gulf Coast,"NEWKS 1096 PENSACOLA"
1097,Gulf Coast,"NEWKS 1097"
1099,Gulf Coast,"NEWKS 1099"
1104,Gulf Coast,"NEWKS 1104"
1118,Nashville,"NEWKS 1118"
1119,East Texas,"NEWKS 1119"
1120,Arkansas,"NEWKS 1120"
1127,Memphis,"NEWKS 1127"
1129,Atlanta,"NEWKS 1129"
1130,Tampa Bay,"NEWKS 1130"
1131,Central Alabama,"NEWKS #1131"
1133,Denver,"NEWKS 1133"
1134,Jackson,"NEWKS 1134"
1139,Atlanta,"NEWKS 1139"
1144,Tampa Bay,"NEWKS 1144"
1147,Atlanta,"NEWKS 1147"
1148,Central Texas,"NEWKS #1148"
1154,Atlanta,"NEWKS 1154"
1157,Atlanta,"NEWKS#1157"
1166,Central Texas,"NEWKS 1166"
1172,Atlanta,"NEWKS 1172"
1175,Arkansas,"NEWKS 1175"
1176,Nashville,"NEWKS EATERY 1176"
1178,Arkansas,"NEWKS 1178"
1179,East Texas,"NEWKS 1179"
1180,West Texas,"NEWKS #1180"
1182,Atlanta,"NEWKS 1182"
1183,Central Alabama,"NEWKS EATERY #1183"
1184,Arkansas,"NEWKS 1184"
1187,Atlanta,"NEWKS 1187  ATHENS"
1188,West Texas,"NEWKS EATERY 1188"
1189,Arkansas,"NEWKS 1189 FT SMITH"
1190,Denver,"NEWKS 1190"
1194,Jackson,"NEWKS 1194"
1195,Jackson,"NEWKS #1195"
1196,Atlanta,"NEWKS 1196"
1197,Jackson,"NEWKS 1197 PASCAGOULA"
1198,Atlanta,"NEWKS 1198 UGA"
1199,Kansas City,"NEWKS 1199"
